Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Start Date,Batsman,Year,Start Date
0*,0,8,0.0,0,0,India,Dhaka,01/10/2010,Oshane Thomas,2010,2010
0*,0,0,0.0,0,0,England,The Oval,06/28/2011,Oshane Thomas,2011,2011
1*,1,3,33.33,0,0,England,Nottingham,07/06/2011,Oshane Thomas,2011,2011
0*,0,2,0.0,0,0,Australia,Pallekele,08/10/2011,Oshane Thomas,2011,2011
0,0,2,0.0,0,0,Pakistan,Dubai (DSC),11/11/2011,Oshane Thomas,2011,2011
0*,0,0,0.0,0,0,India,Dhaka,03/13/2012,Oshane Thomas,2012,2012
0,0,4,0.0,0,0,Pakistan,Dhaka,03/15/2012,Oshane Thomas,2012,2012
0,0,1,0.0,0,0,Bangladesh,Dhaka,03/20/2012,Oshane Thomas,2012,2012
1,1,5,20.0,0,0,India,Port of Spain,07/11/2013,Oshane Thomas,2013,2013
1*,1,1,100.0,0,0,Pakistan,Sharjah,12/18/2013,Oshane Thomas,2013,2013
2*,2,11,18.18,0,0,Pakistan,Abu Dhabi,12/25/2013,Oshane Thomas,2013,2013
4*,4,5,80.0,0,0,England,The Oval,05/22/2014,Oshane Thomas,2014,2014
0,0,3,0.0,0,0,New Zealand,Dunedin,01/23/2015,Oshane Thomas,2015,2015
3,3,5,60.0,0,0,New Zealand,Dunedin,01/25/2015,Oshane Thomas,2015,2015
7*,7,17,41.17,0,0,New Zealand,Christchurch,02/14/2015,Oshane Thomas,2015,2015
1*,1,3,33.33,0,0,Pakistan,Colombo (RPS),07/22/2015,Oshane Thomas,2015,2015
1*,1,4,25.0,0,0,West Indies,Colombo (RPS),11/01/2015,Oshane Thomas,2015,2015
8,8,9,88.88,0,0,New Zealand,Christchurch,12/26/2015,Oshane Thomas,2015,2015
7,7,8,87.5,0,0,England,Nottingham,06/21/2016,Oshane Thomas,2016,2016
3*,3,4,75.0,0,0,England,Bristol,06/26/2016,Oshane Thomas,2016,2016
10,10,23,43.47,1,0,England,Cardiff,07/02/2016,Oshane Thomas,2016,2016
0,0,1,0.0,0,0,Australia,Pallekele,09/04/2016,Oshane Thomas,2016,2016
0,0,1,0.0,0,0,West Indies,Harare,11/16/2016,Oshane Thomas,2016,2016
3,3,12,25.0,0,0,South Africa,Port Elizabeth,01/28/2017,Oshane Thomas,2017,2017
2*,2,5,40.0,0,0,South Africa,Durban,02/01/2017,Oshane Thomas,2017,2017
0,0,6,0.0,0,0,South Africa,Johannesburg,02/04/2017,Oshane Thomas,2017,2017
20*,20,28,71.42,1,1,South Africa,Centurion,02/10/2017,Oshane Thomas,2017,2017
8,8,9,88.88,1,0,Bangladesh,Dambulla,03/25/2017,Oshane Thomas,2017,2017
0,0,1,0.0,0,0,Bangladesh,Dambulla,03/28/2017,Oshane Thomas,2017,2017
2*,2,1,200.0,0,0,Bangladesh,Colombo (SSC),04/01/2017,Oshane Thomas,2017,2017
0,0,3,0.0,0,0,South Africa,The Oval,06/03/2017,Oshane Thomas,2017,2017
26,26,34,76.47,3,0,Pakistan,Cardiff,06/12/2017,Oshane Thomas,2017,2017
7*,7,9,77.77,1,0,Pakistan,Dubai (DSC),10/13/2017,Oshane Thomas,2017,2017
1,1,2,50.0,0,0,Pakistan,Abu Dhabi,10/16/2017,Oshane Thomas,2017,2017
23*,23,30,76.66,3,0,Pakistan,Sharjah,10/20/2017,Oshane Thomas,2017,2017
11*,11,22,50.0,0,0,India,Mohali,12/13/2017,Oshane Thomas,2017,2017
1,1,2,50.0,0,0,India,Visakhapatnam,12/17/2017,Oshane Thomas,2017,2017
5*,5,9,55.55,0,0,Zimbabwe,Dhaka,01/17/2018,Oshane Thomas,2018,2018
1,1,6,16.66,0,0,Bangladesh,Dhaka,01/19/2018,Oshane Thomas,2018,2018
2,2,4,50.0,0,0,Bangladesh,Dhaka,01/27/2018,Oshane Thomas,2018,2018
5,5,16,31.25,1,0,South Africa,Dambulla,07/29/2018,Oshane Thomas,2018,2018
7,7,8,87.5,1,0,South Africa,Dambulla,08/01/2018,Oshane Thomas,2018,2018
12,12,15,80.0,1,0,South Africa,Pallekele,08/05/2018,Oshane Thomas,2018,2018
20,20,25,80.0,1,1,Bangladesh,Dubai (DSC),09/15/2018,Oshane Thomas,2018,2018
0,0,2,0.0,0,0,India,Thiruvananthapuram,11/01/2018,Oshane Thomas,2018,2018
0*,0,2,0.0,0,0,Bangladesh,Dhaka,12/09/2018,Oshane Thomas,2018,2018
0,0,1,0.0,0,0,England,St George's,02/27/2019,Oshane Thomas,2019,2019
3,3,7,42.85,0,0,Ireland,Mohali,03/11/2011,Andre Russell,2011,2011
49,49,46,106.52,2,3,England,Chennai,03/17/2011,Andre Russell,2011,2011
0,0,5,0.0,0,0,India,Chennai,03/20/2011,Andre Russell,2011,2011
3,3,9,33.33,0,0,Pakistan,Bridgetown,04/28/2011,Andre Russell,2011,2011
92*,92,64,143.75,8,5,India,North Sound,06/11/2011,Andre Russell,2011,2011
25,25,14,178.57,3,1,India,North Sound,06/13/2011,Andre Russell,2011,2011
7*,7,3,233.33,1,0,Bangladesh,Dhaka,10/13/2011,Andre Russell,2011,2011
2,2,5,40.0,0,0,Bangladesh,Chattogram,10/18/2011,Andre Russell,2011,2011
22,22,20,110.0,2,1,India,Cuttack,11/29/2011,Andre Russell,2011,2011
11,11,13,84.61,2,0,India,Visakhapatnam,12/02/2011,Andre Russell,2011,2011
40*,40,18,222.22,4,2,India,Ahmedabad,12/05/2011,Andre Russell,2011,2011
29,29,24,120.83,1,3,India,Indore,12/08/2011,Andre Russell,2011,2011
53,53,42,126.19,5,3,India,Chennai,12/11/2011,Andre Russell,2011,2011
1,1,4,25.0,0,0,Australia,Kingstown,03/16/2012,Andre Russell,2012,2012
37,37,42,88.09,3,1,Australia,Kingstown,03/20/2012,Andre Russell,2012,2012
34,34,32,106.25,4,0,Australia,Gros Islet,03/23/2012,Andre Russell,2012,2012
41,41,33,124.24,6,0,Australia,Gros Islet,03/25/2012,Andre Russell,2012,2012
7,7,13,53.84,1,0,England,Southampton,06/16/2012,Andre Russell,2012,2012
42*,42,24,175.0,3,4,New Zealand,Basseterre,07/11/2012,Andre Russell,2012,2012
29,29,16,181.25,2,2,New Zealand,Basseterre,07/14/2012,Andre Russell,2012,2012
59*,59,40,147.5,6,3,New Zealand,Basseterre,07/16/2012,Andre Russell,2012,2012
0,0,3,0.0,0,0,Bangladesh,Khulna,11/30/2012,Andre Russell,2012,2012
9,9,15,60.0,1,0,Bangladesh,Khulna,12/02/2012,Andre Russell,2012,2012
0,0,4,0.0,0,0,Bangladesh,Dhaka,12/08/2012,Andre Russell,2012,2012
43,43,31,138.7,6,1,Australia,Canberra,02/06/2013,Andre Russell,2013,2013
18,18,17,105.88,1,1,Australia,Sydney,02/08/2013,Andre Russell,2013,2013
4,4,9,44.44,0,0,Zimbabwe,St George's,02/22/2013,Andre Russell,2013,2013
6*,6,3,200.0,1,0,New Zealand,Hamilton,01/08/2014,Andre Russell,2014,2014
1,1,2,50.0,0,0,India,Kochi,10/08/2014,Andre Russell,2014,2014
4,4,6,66.66,0,0,India,Delhi,10/11/2014,Andre Russell,2014,2014
46,46,23,200.0,6,3,India,Dharamsala,10/17/2014,Andre Russell,2014,2014
19,19,8,237.5,1,2,South Africa,Durban,01/16/2015,Andre Russell,2015,2015
0,0,1,0.0,0,0,South Africa,Johannesburg,01/18/2015,Andre Russell,2015,2015
16,16,25,64.0,2,0,South Africa,East London,01/21/2015,Andre Russell,2015,2015
64*,64,40,160.0,5,5,South Africa,Port Elizabeth,01/25/2015,Andre Russell,2015,2015
24,24,12,200.0,4,1,South Africa,Centurion,01/28/2015,Andre Russell,2015,2015
27*,27,13,207.69,3,1,Ireland,Nelson,02/16/2015,Andre Russell,2015,2015
42*,42,13,323.07,3,4,Pakistan,Christchurch,02/21/2015,Andre Russell,2015,2015
0,0,3,0.0,0,0,South Africa,Sydney,02/27/2015,Andre Russell,2015,2015
8,8,8,100.0,0,1,India,Perth,03/06/2015,Andre Russell,2015,2015
7,7,8,87.5,0,1,U.A.E.,Napier,03/15/2015,Andre Russell,2015,2015
20,20,11,181.81,1,2,New Zealand,Wellington,03/21/2015,Andre Russell,2015,2015
41,41,24,170.83,3,3,Sri Lanka,Colombo (RPS),11/01/2015,Andre Russell,2015,2015
13,13,12,108.33,1,1,Bangladesh,Providence,07/22/2018,Andre Russell,2018,2018
0,0,3,0.0,0,0,Bangladesh,Roseau,07/26/2009,Kemar Roach,2009,2009
10,10,11,90.9,1,0,Bangladesh,Basseterre,07/31/2009,Kemar Roach,2009,2009
3,3,8,37.5,0,0,Australia,Johannesburg,09/26/2009,Kemar Roach,2009,2009
4,4,10,40.0,0,0,India,Johannesburg,09/30/2009,Kemar Roach,2009,2009
0*,0,0,0.0,0,0,Australia,Melbourne,02/07/2010,Kemar Roach,2010,2010
0*,0,0,0.0,0,0,Australia,Adelaide,02/09/2010,Kemar Roach,2010,2010
1*,1,1,100.0,0,0,Zimbabwe,Providence,03/04/2010,Kemar Roach,2010,2010
