Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Bowler,Start Date
8.0,8,8,0,7.12,0.0,0.0,India,Nagpur,12/18/2009,Suranga Lakmal,2009
10.0,10,10,2,5.50,27.5,30.0,India,Kolkata,12/24/2009,Suranga Lakmal,2009
9.0,9,9,2,7.00,31.5,27.0,Bangladesh,Dhaka,01/04/2010,Suranga Lakmal,2010
8.0,8,8,0,6.00,0.0,0.0,India,Dhaka,01/05/2010,Suranga Lakmal,2010
10.0,10,10,0,7.50,0.0,0.0,India,Dhaka,01/10/2010,Suranga Lakmal,2010
7.0,7,7,2,7.42,26.0,21.0,England,The Oval,06/28/2011,Suranga Lakmal,2011
7.5,7,7,3,5.48,14.33,15.6,England,Leeds,07/01/2011,Suranga Lakmal,2011
10.0,10,10,2,6.20,31.0,30.0,England,Lord's,07/03/2011,Suranga Lakmal,2011
2.0,2,2,0,6.00,0.0,0.0,England,Nottingham,07/06/2011,Suranga Lakmal,2011
5.0,5,5,0,7.80,0.0,0.0,Australia,Pallekele,08/10/2011,Suranga Lakmal,2011
4.0,4,4,2,4.00,8.0,12.0,Pakistan,Dubai (DSC),11/11/2011,Suranga Lakmal,2011
10.0,10,10,1,6.70,67.0,60.0,India,Dhaka,03/13/2012,Suranga Lakmal,2012
8.0,8,8,2,4.62,18.5,24.0,Pakistan,Dhaka,03/15/2012,Suranga Lakmal,2012
7.1,7,7,1,6.13,44.0,43.0,Bangladesh,Dhaka,03/20/2012,Suranga Lakmal,2012
10.0,10,10,1,3.30,33.0,60.0,India,Port of Spain,07/11/2013,Suranga Lakmal,2013
5.5,5,5,3,3.77,7.33,11.6,South Africa,Colombo (RPS),07/31/2013,Suranga Lakmal,2013
10.0,10,10,2,7.30,36.5,30.0,Pakistan,Sharjah,12/18/2013,Suranga Lakmal,2013
9.0,9,9,1,5.44,49.0,54.0,Pakistan,Abu Dhabi,12/25/2013,Suranga Lakmal,2013
7.3,7,7,3,5.60,14.0,15.0,Pakistan,Abu Dhabi,12/27/2013,Suranga Lakmal,2013
10.0,10,10,2,2.40,12.0,30.0,Bangladesh,Dhaka,02/22/2014,Suranga Lakmal,2014
9.0,9,9,2,7.22,32.5,27.0,Pakistan,Fatullah,02/25/2014,Suranga Lakmal,2014
7.0,7,7,2,4.28,15.0,21.0,Afghanistan,Dhaka,03/03/2014,Suranga Lakmal,2014
10.0,10,10,2,3.20,16.0,30.0,Bangladesh,Dhaka,03/06/2014,Suranga Lakmal,2014
10.0,10,10,0,4.10,0.0,0.0,Pakistan,Dhaka,03/08/2014,Suranga Lakmal,2014
8.0,8,8,3,3.62,9.66,16.0,Ireland,Dublin,05/06/2014,Suranga Lakmal,2014
6.0,6,6,0,5.66,0.0,0.0,England,The Oval,05/22/2014,Suranga Lakmal,2014
8.0,8,8,4,3.75,7.5,12.0,England,Pallekele,12/13/2014,Suranga Lakmal,2014
8.0,8,8,2,3.12,12.5,24.0,England,Colombo (RPS),12/16/2014,Suranga Lakmal,2014
10.0,10,10,0,9.30,0.0,0.0,New Zealand,Dunedin,01/23/2015,Suranga Lakmal,2015
7.0,7,7,0,4.42,0.0,0.0,New Zealand,Dunedin,01/25/2015,Suranga Lakmal,2015
10.0,10,10,2,6.20,31.0,30.0,New Zealand,Christchurch,02/14/2015,Suranga Lakmal,2015
10.0,10,10,2,3.60,18.0,30.0,Afghanistan,Dunedin,02/22/2015,Suranga Lakmal,2015
8.0,8,8,2,6.12,24.5,24.0,Bangladesh,Melbourne,02/26/2015,Suranga Lakmal,2015
7.4,7,7,1,9.26,71.0,46.0,England,Wellington,03/01/2015,Suranga Lakmal,2015
